车型,销售时间,销量,最低售价,最高售价
轩逸,2020-1-1 0:0:0,43774,99800.0,143000.0
朗逸,2020-1-1 0:0:0,39201,99900.0,161900.0
卡罗拉,2020-1-1 0:0:0,36454,109800.0,159800.0
宝来,2020-1-1 0:0:0,33978,98800.00000000001,157000.0
哈弗H6,2020-1-1 0:0:0,31781,98000.0,154900.0
速腾,2020-1-1 0:0:0,29122,129900.0,192900.0
长安CS75,2020-1-1 0:0:0,27904,103900.0,121900.0
博越,2020-1-1 0:0:0,27035,89800.0,146800.0
帝豪,2020-1-1 0:0:0,25794,62800.0,91800.0
雷凌,2020-1-1 0:0:0,24412,113800.00000000001,152800.0
本田CR-V,2020-1-1 0:0:0,21776,169800.0,276800.0
探岳,2020-1-1 0:0:0,21288,186900.0,264900.0
桑塔纳,2020-1-1 0:0:0,19622,86900.0,115900.0
雅阁,2020-1-1 0:0:0,18485,179800.0,259800.0
传祺GS4,2020-1-1 0:0:0,18405,89800.0,139800.0
RAV4荣放,2020-1-1 0:0:0,17512,174800.0,259800.0
奇骏,2020-1-1 0:0:0,17169,188800.0,273300.0
科鲁泽,2020-1-1 0:0:0,17082,89900.0,122899.99999999999
奔驰GLC,2020-1-1 0:0:0,17070,394799.99999999994,587800.0
凯美瑞,2020-1-1 0:0:0,16981,179800.0,279800.0
思域,2020-1-1 0:0:0,16354,119900.0,169899.99999999997
捷达VS5,2020-1-1 0:0:0,15704,84800.0,112800.0
奔驰E级,2020-1-1 0:0:0,15665,430800.0,642800.0
昂科威,2020-1-1 0:0:0,15289,189899.99999999997,279900.0
逍客,2020-1-1 0:0:0,15076,154900.0,188900.0
别克GL8,2020-1-1 0:0:0,15050,232900.0,533900.0
荣威i5,2020-1-1 0:0:0,14974,67900.0,92899.99999999999
宝马5系,2020-1-1 0:0:0,14712,421900.0,549900.0
哈弗M6,2020-1-1 0:0:0,14478,66000.0,92899.99999999999
奔驰C级,2020-1-1 0:0:0,14447,307800.0,474799.99999999994
帕萨特,2020-1-1 0:0:0,14343,185900.0,282900.0
五菱宏光,2020-1-1 0:0:0,14156,45800.0,58800.0
捷途X70,2020-1-1 0:0:0,13895,69900.0,122899.99999999999
本田XR-V,2020-1-1 0:0:0,13874,127899.99999999999,175900.0
皓影,2020-1-1 0:0:0,13648,169800.0,252800.0
宝马X3,2020-1-1 0:0:0,13643,389799.99999999994,479799.99999999994
奥迪A4L,2020-1-1 0:0:0,13213,305800.0,396800.0
奥迪A6L,2020-1-1 0:0:0,13089,419799.99999999994,653800.0
瑞虎8,2020-1-1 0:0:0,13071,88800.00000000001,159900.0
缤智,2020-1-1 0:0:0,12723,127800.0,176800.0
迈腾,2020-1-1 0:0:0,12615,186900.0,309900.0
艾瑞泽GX,2020-1-1 0:0:0,12581,85900.0,129800.0
宋Pro,2020-1-1 0:0:0,12361,89800.0,129900.0
缤越,2020-1-1 0:0:0,12258,75800.0,119800.0
长安CS35,2020-1-1 0:0:0,12171,0.0,0.0
长安CS55,2020-1-1 0:0:0,12142,82899.99999999999,133900.0
君威,2020-1-1 0:0:0,12051,188800.0,249800.0
途观L,2020-1-1 0:0:0,11881,215799.99999999997,285800.0
名爵ZS,2020-1-1 0:0:0,11706,78800.0,112800.0
T-ROC探歌,2020-1-1 0:0:0,11697,157800.0,204899.99999999997
轩逸,2020-2-1 0:0:0,30456,99800.0,143000.0
朗逸,2020-2-1 0:0:0,28001,99900.0,161900.0
宝来,2020-2-1 0:0:0,26389,98800.00000000001,157000.0
哈弗H6,2020-2-1 0:0:0,25478,98000.0,154900.0
速腾,2020-2-1 0:0:0,21763,129900.0,192900.0
卡罗拉,2020-2-1 0:0:0,18943,109800.0,159800.0
博越,2020-2-1 0:0:0,18659,89800.0,146800.0
奔驰E级,2020-2-1 0:0:0,17253,430800.0,642800.0
奔驰GLC,2020-2-1 0:0:0,17200,394799.99999999994,587800.0
凯美瑞,2020-2-1 0:0:0,17088,179800.0,279800.0
奔驰C级,2020-2-1 0:0:0,15278,307800.0,474799.99999999994
宝马5系,2020-2-1 0:0:0,14670,421900.0,549900.0
帝豪,2020-2-1 0:0:0,14656,62800.0,91800.0
奥迪A6L,2020-2-1 0:0:0,14652,419799.99999999994,653800.0
长安CS75 PLUS,2020-2-1 0:0:0,14597,106900.0,154900.0
雷凌,2020-2-1 0:0:0,14216,113800.00000000001,152800.0
RAV4荣放,2020-2-1 0:0:0,13533,174800.0,259800.0
五菱宏光,2020-2-1 0:0:0,13464,45800.0,58800.0
雅阁,2020-2-1 0:0:0,13188,179800.0,259800.0
奥迪Q5L,2020-2-1 0:0:0,13178,387800.0,498000.0
宋Pro,2020-2-1 0:0:0,13170,89800.0,129900.0
长安CS35,2020-2-1 0:0:0,12809,0.0,0.0
桑塔纳,2020-2-1 0:0:0,11715,86900.0,115900.0
长安欧尚X7,2020-2-1 0:0:0,11677,77700.0,129900.0
宝马X3,2020-2-1 0:0:0,11058,389799.99999999994,479799.99999999994
逸动,2020-2-1 0:0:0,10009,72900.0,103900.0
宝马3系,2020-2-1 0:0:0,9870,293900.0,409900.0
远景X6,2020-2-1 0:0:0,9558,68900.0,99900.0
传祺GS4,2020-2-1 0:0:0,9449,89800.0,139800.0
长安CS55,2020-2-1 0:0:0,9136,82899.99999999999,133900.0
艾瑞泽GX,2020-2-1 0:0:0,8949,85900.0,129800.0
哈弗M6,2020-2-1 0:0:0,8742,66000.0,92899.99999999999
君威,2020-2-1 0:0:0,8665,188800.0,249800.0
英朗,2020-2-1 0:0:0,8646,119900.0,125900.0
缤越,2020-2-1 0:0:0,8564,75800.0,119800.0
悦动,2020-2-1 0:0:0,8504,84900.0,115900.0
北京现代ix25,2020-2-1 0:0:0,8425,105800.0,136800.0
皓影,2020-2-1 0:0:0,8356,169800.0,252800.0
汉兰达,2020-2-1 0:0:0,8342,239800.0,348800.0
迈腾,2020-2-1 0:0:0,8204,186900.0,309900.0
YARiS L 致炫,2020-2-1 0:0:0,8134,77800.0,103800.00000000001
帝豪GS,2020-2-1 0:0:0,8118,77800.0,116800.0
逍客,2020-2-1 0:0:0,7996,154900.0,188900.0
焕驰,2020-2-1 0:0:0,7881,64900.0,68900.0
捷途X70,2020-2-1 0:0:0,7743,69900.0,122899.99999999999
长安CS75,2020-2-1 0:0:0,7678,103900.0,121900.0
瑞虎3,2020-2-1 0:0:0,7667,59900.0,79900.0
奔驰A级,2020-2-1 0:0:0,7641,211800.0,299800.0
宝马X1,2020-2-1 0:0:0,7585,279800.0,339799.99999999994
捷达VS5,2020-2-1 0:0:0,7512,84800.0,112800.0
轩逸,2020-3-1 0:0:0,65407,99800.0,143000.0
朗逸,2020-3-1 0:0:0,60203,99900.0,161900.0
卡罗拉,2020-3-1 0:0:0,47082,109800.0,159800.0
宝来,2020-3-1 0:0:0,46020,98800.00000000001,157000.0
哈弗H6,2020-3-1 0:0:0,44417,98000.0,154900.0
英朗,2020-3-1 0:0:0,39289,119900.0,125900.0
速腾,2020-3-1 0:0:0,39166,129900.0,192900.0
博越,2020-3-1 0:0:0,33779,89800.0,146800.0
雷凌,2020-3-1 0:0:0,33534,113800.00000000001,152800.0
帝豪,2020-3-1 0:0:0,31343,62800.0,91800.0
凯美瑞,2020-3-1 0:0:0,30281,179800.0,279800.0
长安CS75 PLUS,2020-3-1 0:0:0,29708,106900.0,154900.0
雅阁,2020-3-1 0:0:0,29533,179800.0,259800.0
五菱宏光,2020-3-1 0:0:0,29271,45800.0,58800.0
RAV4荣放,2020-3-1 0:0:0,28317,174800.0,259800.0
思域,2020-3-1 0:0:0,27523,119900.0,169899.99999999997
奔驰C级,2020-3-1 0:0:0,27283,307800.0,474799.99999999994
奥迪A6L,2020-3-1 0:0:0,26851,419799.99999999994,653800.0
奔驰E级,2020-3-1 0:0:0,26810,430800.0,642800.0
奔驰GLC,2020-3-1 0:0:0,26637,394799.99999999994,587800.0
宝马5系,2020-3-1 0:0:0,26545,421900.0,549900.0
本田CR-V,2020-3-1 0:0:0,23893,169800.0,276800.0
宋Pro,2020-3-1 0:0:0,23850,89800.0,129900.0
哈弗M6,2020-3-1 0:0:0,23651,66000.0,92899.99999999999
宝马3系,2020-3-1 0:0:0,23053,293900.0,409900.0
奥迪Q5L,2020-3-1 0:0:0,22659,387800.0,498000.0
宝马X3,2020-3-1 0:0:0,21464,389799.99999999994,479799.99999999994
长安CS35,2020-3-1 0:0:0,21221,0.0,0.0
帕萨特,2020-3-1 0:0:0,21079,185900.0,282900.0
桑塔纳,2020-3-1 0:0:0,20245,86900.0,115900.0
君威,2020-3-1 0:0:0,20192,188800.0,249800.0
迈腾,2020-3-1 0:0:0,20032,186900.0,309900.0
途观L,2020-3-1 0:0:0,19848,215799.99999999997,285800.0
逍客,2020-3-1 0:0:0,19539,154900.0,188900.0
逸动,2020-3-1 0:0:0,19494,72900.0,103900.0
皓影,2020-3-1 0:0:0,18627,169800.0,252800.0
本田XR-V,2020-3-1 0:0:0,18399,127899.99999999999,175900.0
昂科威,2020-3-1 0:0:0,17829,189899.99999999997,279900.0
凌派,2020-3-1 0:0:0,17357,99800.0,169800.0
奇骏,2020-3-1 0:0:0,16936,188800.0,273300.0
帝豪GS,2020-3-1 0:0:0,16890,77800.0,116800.0
传祺GS4,2020-3-1 0:0:0,16527,89800.0,139800.0
远景X6,2020-3-1 0:0:0,16235,68900.0,99900.0
宝马X1,2020-3-1 0:0:0,15910,279800.0,339799.99999999994
途岳,2020-3-1 0:0:0,15890,165799.99999999997,223800.0
科鲁泽,2020-3-1 0:0:0,15594,89900.0,122899.99999999999
缤智,2020-3-1 0:0:0,15332,127800.0,176800.0
哈弗F7,2020-3-1 0:0:0,15292,111800.0,151800.0
奥迪A4L,2020-3-1 0:0:0,15200,305800.0,396800.0
长安CS55,2020-3-1 0:0:0,15042,82899.99999999999,133900.0
轩逸,2020-4-1 0:0:0,86753,99800.0,143000.0
朗逸,2020-4-1 0:0:0,71822,99900.0,161900.0
卡罗拉,2020-4-1 0:0:0,61470,109800.0,159800.0
英朗,2020-4-1 0:0:0,59160,119900.0,125900.0
思域,2020-4-1 0:0:0,51077,119900.0,169899.99999999997
速腾,2020-4-1 0:0:0,47259,129900.0,192900.0
哈弗H6,2020-4-1 0:0:0,46709,98000.0,154900.0
宝来,2020-4-1 0:0:0,45262,98800.00000000001,157000.0
帝豪,2020-4-1 0:0:0,43540,62800.0,91800.0
雷凌,2020-4-1 0:0:0,39502,113800.00000000001,152800.0
五菱宏光,2020-4-1 0:0:0,39279,45800.0,58800.0
博越,2020-4-1 0:0:0,38734,89800.0,146800.0
本田CR-V,2020-4-1 0:0:0,38385,169800.0,276800.0
RAV4荣放,2020-4-1 0:0:0,34769,174800.0,259800.0
长安CS75 PLUS,2020-4-1 0:0:0,34292,106900.0,154900.0
本田XR-V,2020-4-1 0:0:0,33119,127899.99999999999,175900.0
逍客,2020-4-1 0:0:0,32540,154900.0,188900.0
凯美瑞,2020-4-1 0:0:0,31844,179800.0,279800.0
科鲁泽,2020-4-1 0:0:0,31524,89900.0,122899.99999999999
雅阁,2020-4-1 0:0:0,31241,179800.0,259800.0
奥迪A6L,2020-4-1 0:0:0,30725,419799.99999999994,653800.0
宝马3系,2020-4-1 0:0:0,30004,293900.0,409900.0
途观L,2020-4-1 0:0:0,29859,215799.99999999997,285800.0
奇骏,2020-4-1 0:0:0,29031,188800.0,273300.0
奔驰C级,2020-4-1 0:0:0,28639,307800.0,474799.99999999994
途岳,2020-4-1 0:0:0,28423,165799.99999999997,223800.0
奔驰GLC,2020-4-1 0:0:0,28423,394799.99999999994,587800.0
哈弗M6,2020-4-1 0:0:0,27766,66000.0,92899.99999999999
宝马5系,2020-4-1 0:0:0,27544,421900.0,549900.0
昂科威,2020-4-1 0:0:0,26410,189899.99999999997,279900.0
缤智,2020-4-1 0:0:0,26164,127800.0,176800.0
奔驰E级,2020-4-1 0:0:0,26087,430800.0,642800.0
桑塔纳,2020-4-1 0:0:0,25915,86900.0,115900.0
奥迪Q5L,2020-4-1 0:0:0,25599,387800.0,498000.0
宋Pro,2020-4-1 0:0:0,24387,89800.0,129900.0
迈腾,2020-4-1 0:0:0,24095,186900.0,309900.0
宝马X3,2020-4-1 0:0:0,23763,389799.99999999994,479799.99999999994
探岳,2020-4-1 0:0:0,23283,186900.0,264900.0
皓影,2020-4-1 0:0:0,22483,169800.0,252800.0
逸动,2020-4-1 0:0:0,22033,72900.0,103900.0
五菱荣光V,2020-4-1 0:0:0,21868,39800.0,49800.00000000001
奥迪A4L,2020-4-1 0:0:0,21848,305800.0,396800.0
帕萨特,2020-4-1 0:0:0,21590,185900.0,282900.0
凌派,2020-4-1 0:0:0,21411,99800.0,169800.0
哈弗F7,2020-4-1 0:0:0,21152,111800.0,151800.0
君威,2020-4-1 0:0:0,19764,188800.0,249800.0
传祺GS4,2020-4-1 0:0:0,19468,89800.0,139800.0
长安CS35,2020-4-1 0:0:0,18871,0.0,0.0
帝豪GS,2020-4-1 0:0:0,18815,77800.0,116800.0
宝马X1,2020-4-1 0:0:0,18460,279800.0,339799.99999999994
轩逸,2020-5-1 0:0:0,99044,99800.0,143000.0
朗逸,2020-5-1 0:0:0,71224,99900.0,161900.0
卡罗拉,2020-5-1 0:0:0,66306,109800.0,159800.0
思域,2020-5-1 0:0:0,53217,119900.0,169899.99999999997
英朗,2020-5-1 0:0:0,51183,119900.0,125900.0
速腾,2020-5-1 0:0:0,49608,129900.0,192900.0
宝来,2020-5-1 0:0:0,48213,98800.00000000001,157000.0
哈弗H6,2020-5-1 0:0:0,45949,98000.0,154900.0
帝豪,2020-5-1 0:0:0,44330,62800.0,91800.0
博越,2020-5-1 0:0:0,40240,89800.0,146800.0
五菱宏光,2020-5-1 0:0:0,40183,45800.0,58800.0
本田CR-V,2020-5-1 0:0:0,35495,169800.0,276800.0
长安CS75 PLUS,2020-5-1 0:0:0,34879,106900.0,154900.0
奇骏,2020-5-1 0:0:0,34224,188800.0,273300.0
雷凌,2020-5-1 0:0:0,34141,113800.00000000001,152800.0
科鲁泽,2020-5-1 0:0:0,33602,89900.0,122899.99999999999
RAV4荣放,2020-5-1 0:0:0,33464,174800.0,259800.0
雅阁,2020-5-1 0:0:0,33429,179800.0,259800.0
凯美瑞,2020-5-1 0:0:0,33085,179800.0,279800.0
途岳,2020-5-1 0:0:0,32946,165799.99999999997,223800.0
